C1,C2,C3,C4,C5,C6,C7,I13,H12,H11,I14,I15,B8,B9,B10,I16,I17,I18,O19
1,0.01,2.0928186,127.61,1,0,2,1,2,1,2,3,1,Timber piles,1,1,1,1,1
1,0.01,2.0928186,127.61,1,0,2,1,2,1,2,3,1,Timber piles,1,1,0,1,0
1,0.01,2.0928186,127.61,1,0,2,1,2,1,2,3,1,Timber piles,1,1,0,0,0
0,0.23,109.628631,22.93,2,0,2,0,2,0,4,0,1,Concrete/ciment,0,0,1,0,0
0,0.23,109.628631,22.93,2,0,2,0,2,0,4,0,1,Concrete/ciment,0,1,1,1,1
0,0.01,1258.465455,6.71,0,0,2,1,1,0,1,2,1,Caisson,1,1,0,0,0
0,0.01,1258.465455,6.71,0,0,2,1,1,0,1,2,1,Caisson,1,0,0,1,0
0,0.01,1258.465455,6.71,0,0,2,1,1,0,1,2,1,Caisson,1,0,0,1,0
0,0.01,1258.465455,6.71,0,0,2,1,1,0,1,2,1,Caisson,1,0,0,0,0
0,0.06,102.05071,8.82,0,0,0,0,1,1,1,2,1,Concrete/ciment,1,1,1,0,1
0,0.02,510.510447,16.15,0,1,0,0,2,0,0,2,1,Concrete/ciment,1,0,0,1,0
0,0.02,510.510447,16.15,0,1,0,0,2,0,0,2,1,Concrete/ciment,1,0,0,1,0
2,3.08,24.4293931,4.71,2,1,0,1,1,0,3,3,1,Concrete/ciment,0,0,1,0,1
2,3.08,24.4293931,4.71,2,1,0,1,1,0,3,3,1,Concrete/ciment,0,0,0,0,1
